ID,Nombre Producto,Cantidad,Precio,Codigo de barras propio,Categoria
7707205157937,CHUNKY CACHORRO POLLO,14.14301075,9300,1,Comida a granel
7702521105952,DOGSHOW ADULTO RAZA PEQUEÑA,6.673214286,11200,1,Comida a granel
7702084050867,DOGURMET CACHORRO,23.98409091,8800,1,Comida a granel
7702084050966,DOGURMET CARNE,2.481341463,8200,1,Comida a granel
7702084050874,DOGURMET PARRILLADA MIXTA,11.2202439,8200,1,Comida a granel
7702084000039,DONKAN PERRO ADULTO,0.014099265,6800,1,Comida a granel
7702084057347,DONKAT ADULTO ,12.34,10000,1,Comida a granel
7702084057286,DONKAT CACHORRO,0.980517241,11600,1,Comida a granel
7703090914068,FILPO ADULTO,41.3339441,4600,1,Comida a granel
7702521102739,GATSY CARNE,10.82571429,9800,1,Comida a granel
7898349703132,MONELLO ADULTO RAZA GRANDE,10.25943396,10600,1,Comida a granel
7898349703255,MONELLO ADULTO RAZA PEQUEÑA,15.33015873,12600,1,Comida a granel
7898349703378,MONELLO CACHORRO,21.27150794,12600,1,Comida a granel
7898349703606,MONELLO GATO ADULTO,12.13554217,16600,1,Comida a granel
7898349703637,MONELLO GATO CASTRADO,5.614583333,19200,1,Comida a granel
7702712003487,NUTRECAN ADULTO ,12.65432432,7400,1,Comida a granel
7702084057279,OH MAI GAT CACHORROS,0.915,15200,1,Comida a granel
7702084057354,OH MAI GAT CASEROS,3.27890411,14600,1,Comida a granel
7702084057088,OH MAI GAT INQUIETOS,0.493150685,14600,1,Comida a granel
7702712003388,Q-IDA CAT,9.775,10000,1,Comida a granel
7703090954064,RINGO ADULTO,21.055,5000,1,Comida a granel
6975254045135,Accesorio con Chupas para Ducha,1,12000,1,Accesorios
2589668741145,Acondicionador Peludos X45ML,8,2500,1,Aseo
7707205154233,Agility Gold Comida Humeda Perro Carne,3,4200,1,Comida Humeda
1000101,Agility Gold Comida Humeda Perro Cordero,0,4200,0,Comida Humeda
